_______June_2022_____________T-AIRS(^S^o^N^C) Anomaly vs 2007-2016              
   i   j     lon     lat    array(i,j)
 161   1  141.00  -89.00        2.7173
 162   1  143.00  -89.00        2.7173
 163   1  145.00  -89.00        2.7173
 164   1  147.00  -89.00        2.7173
 165   1  149.00  -89.00        2.7173
 166   1  151.00  -89.00        2.7173
 167   1  153.00  -89.00        2.7173
 168   1  155.00  -89.00        2.7173
 169   1  157.00  -89.00        2.7173
 170   1  159.00  -89.00        2.7173
 171   1  161.00  -89.00        2.7173
 172   1  163.00  -89.00        2.7173
 173   1  165.00  -89.00        2.7173
 174   1  167.00  -89.00        2.7173
 175   1  169.00  -89.00        2.7173
 176   1  171.00  -89.00        2.7173
 177   1  173.00  -89.00        2.7173
 178   1  175.00  -89.00        2.7173
 179   1  177.00  -89.00        2.7173
 180   1  179.00  -89.00        2.7173
   1   2 -179.00  -87.00        2.7173
   2   2 -177.00  -87.00        2.7173
   3   2 -175.00  -87.00        2.7173
   4   2 -173.00  -87.00        2.7173
   5   2 -171.00  -87.00        2.7173
   6   2 -169.00  -87.00        2.7173
   7   2 -167.00  -87.00        2.7173
   8   2 -165.00  -87.00        2.7173
   9   2 -163.00  -87.00        2.7173
  10   2 -161.00  -87.00        2.7173
  11   2 -159.00  -87.00        2.7173
  12   2 -157.00  -87.00        2.7173
  13   2 -155.00  -87.00        2.7173
  14   2 -153.00  -87.00        2.7173
  15   2 -151.00  -87.00        2.7173
  16   2 -149.00  -87.00        2.7173
  17   2 -147.00  -87.00        2.7173
  18   2 -145.00  -87.00        2.7173
  19   2 -143.00  -87.00        2.7173
  20   2 -141.00  -87.00        2.7173
  21   2 -139.00  -87.00        2.7173
  22   2 -137.00  -87.00        2.7173
  23   2 -135.00  -87.00        2.7173
  24   2 -133.00  -87.00        2.7173
  25   2 -131.00  -87.00        2.7173
  26   2 -129.00  -87.00        2.7173
  27   2 -127.00  -87.00        2.7173
  28   2 -125.00  -87.00        2.7173
  29   2 -123.00  -87.00        2.7173
  30   2 -121.00  -87.00        2.7173
  31   2 -119.00  -87.00        2.7173
  32   2 -117.00  -87.00        2.7173
  33   2 -115.00  -87.00        2.7173
  34   2 -113.00  -87.00        2.7173
  35   2 -111.00  -87.00        2.7173
  36   2 -109.00  -87.00        2.7173
  37   2 -107.00  -87.00        2.7173
  38   2 -105.00  -87.00        2.7173
  39   2 -103.00  -87.00        2.7173
  40   2 -101.00  -87.00        2.7173
  41   2  -99.00  -87.00        2.7173
  42   2  -97.00  -87.00        2.7173
  43   2  -95.00  -87.00        2.7173
  44   2  -93.00  -87.00        2.7173
  45   2  -91.00  -87.00        2.7173
  46   2  -89.00  -87.00        2.7173
  47   2  -87.00  -87.00        2.7173
  48   2  -85.00  -87.00        2.7173
  49   2  -83.00  -87.00        2.7173
  50   2  -81.00  -87.00        2.7173
  51   2  -79.00  -87.00        2.7173
  52   2  -77.00  -87.00        2.7173
  53   2  -75.00  -87.00        2.7173
  54   2  -73.00  -87.00        2.7173
  55   2  -71.00  -87.00        2.7173
  56   2  -69.00  -87.00        2.7173
  57   2  -67.00  -87.00        2.7173
  58   2  -65.00  -87.00        2.7173
  59   2  -63.00  -87.00        2.7173
  60   2  -61.00  -87.00        2.7173
